施設名,分類,フリガナ,メール,電話番号,FAX番号,郵便番号,住所１,住所２,最終更新日
社会福祉法人もみの木会　特別養護老人ホームもみの木荘,ショートステイ,シャカイフクシホウジンモミノキカイ　トクベツヨウゴロウジンホームモミノキソウ,kawasaki@mominoki-kai.com,0957-47-1231,0957-47-1566,859-3929,東彼杵郡東彼杵町里郷2435番地,,2026-03-27 16:42:00
養護老人ホームひさご荘,ショートステイ,ヨウゴロウジンホームヒサゴソウ,touhi-hisagosou@cotton.ocn.ne.jp,0956-82-4811,0956-27-7411,859-3616,東彼杵郡川棚町白石郷7-134,,2026-05-13 11:29:47
一般社団法人正和会　グループホームかわたな,グループホーム,イッパンシャダンホウジンセイワカイ　グループホームカワタナ,kawatana6858@gmail.com,0956-20-6858,0956-20-6855,859-3615,東彼杵郡川棚町下組郷397番地,info@touhi-ishikai.jp,2026-04-03 18:12:35
グループホームけやき荘,グループホーム,グループホームケヤキソウ,hidehumi-k@outlook.jp,0956-27-7717,0956-27-7718,859-3618,東彼杵郡川棚町小串郷1960-1,info@touhi-ishikai.jp,2026-04-22 17:03:20
グループホームのんの,グループホーム,グループホームノンノ,nonno@ia1.itkeeper.ne.jp,0957-46-0077,0957-46-0077,859-3806,東彼杵郡東彼杵町三根郷1441-1,,2026-05-28 09:21:25
社会福祉法人愛隣会　グループホームはさみ里,グループホーム,シャカイフクシホウジンアイリンカイ　グループホームハサミサト,gh_hasamisato_7577@yahoo.co.jp,0956-20-7577,0956-20-7588,859-3726,東彼杵郡波佐見町稗木場郷798番地1,info@touhi-ishikai.jp,2026-04-13 16:21:46
グループホームひだまり,グループホーム,グループホームヒダマリ,grouphome-hidamari@s8.dion.ne.jp,0956-26-7311,0956-26-7312,859-3725,東彼杵郡波佐見町長野郷380-17,,2026-04-17 11:15:41
グループホームほのぼの本館,グループホーム,グループホームホノボノホンカン,honobono@peach.ocn.ne.jp,0957-47-1101,0957-47-0102,859-3929,東彼杵郡東彼杵町里郷2343-2,,2026-05-27 11:03:12
グループホームほのぼの新館,グループホーム,グループホームホノボノシンカン,honobono@peach.ocn.ne.jp,0957-47-6772,0957-47-6773,859-3928,東彼杵郡東彼杵町平似田郷2342-1,,2026-05-27 11:02:34
 医療法人 衷心会　グループホームまごころ,グループホーム,イリョウホウジンチュウシンカイ　グループホームマゴコロ,chyusin.magokoro@nifty.com,0956-27-6222,0956-27-6223,859-3722,東彼杵郡波佐見町岳辺田郷361,,2026-03-17 11:16:59
グループホーム琴の海,グループホーム,グループホームコトノウミ,gh-kotonoumi2005@outlook.jp,0957-47-0140,0957-47-0140,859-3808,東彼杵郡東彼杵町蔵本郷884-1,,2026-05-28 09:12:27
グループホーム エルダーガーデン川棚,グループホーム,グループホーム　エルダーガーデンカワタナ,qqva5hz9k@joy.ocn.ne.jp,0956-82-2535,0956-82-2535,859-3619,東彼杵郡川棚町新谷郷2040-15,,2026-06-03 23:49:21
サービス付き高齢者向け住宅のんの,入所施設,サービスツキコウレイシャムケジュウタクノンノ,sakoujyu-nonno2861@juno.ocn.ne.jp,0957-47-0076,0957-47-0076,859-3808,東彼杵郡東彼杵町蔵本郷1234番地1,,2026-04-14 13:30:18
デイサービスほのぼの,デイサービス,デイサービス　ホノボノ,honobono@peach.ocn.ne.jp,0957-47-1101,0957-47-0102,859-3929,東彼杵郡東彼杵町里郷2343-2,,2024-06-18 16:16:18
なかぐみ薬局,調剤薬局,ナカグミヤッキョク,qqud9nb9k@galaxy.ocn.ne.jp,0956-82-3366,0956--82-3371,859-3614,東彼杵郡川棚町中組郷1489-6,,2026-06-15 14:33:51
セントケア訪問看護ステーション佐世保,訪問看護ステーション,セントケアホウモンカンゴステーションサセボ,hssasebo_sc42@saint-care.com,0956-27-5566,0956-39-0388,859-3223,佐世保市広田3丁目14番51号　杢尾ビル2号室,hssasebo_sc42＠saint-care.com,2026-06-18 14:16:09
コンパスウォーク波佐見,デイサービス,コンパスウォークハサミ,info@keigo-group-kyushu.co.jp,0965-27-6517,0956-27-6518,859-3701,東彼杵郡波佐見町折敷瀬郷,1742-12,2026-06-09 16:12:20
ホームヘルプコスモス,福祉タクシー,ホームヘルプコスモス,cosmos@ayumikai.or.jp,0957-46-1132,--,859-3807,東彼杵郡東彼杵町彼杵宿郷549-1,,2026-05-27 11:00:12
コンパスウォーク川棚,デイサービス,コンパスウォークカワタナ,cwkawatana@gmail.com,0956-37-8182,0956-37-8183,859-3608,東彼杵郡川棚町栄町37番地1,コンパスウォーク川棚,2026-06-08 15:28:22
いきいきパラダイス,各町の介護予防事業,　イキイキパラダイス,choujyu@town.kawatana.lg.jp,0956-59-5886,--,859-3615,東彼杵郡川棚町下組郷338-57,,2026-07-13 15:00:59
ハッピーガーデン川棚,居宅介護支援事業所,ハッピーガーデンカワタナ,kn.happy.garden.kawatana@gmail.com,0956-82-5850,0956-82-3115,859-3607,東彼杵郡川棚町城山町122番地1,,2026-05-13 11:34:44
訪問看護ステーションすみれ,訪問看護ステーション,ホウモンカンゴステーションスミレ,houkan.sumire.llc.egashira@gmail.com,0956-85-7575,0956-76-9977,859-3701,東彼杵郡波佐見町折敷瀬郷1945-7,,2026-05-14 09:27:04
つなぐ居宅介護支援事業所,居宅介護支援事業所,ツナグキョタクカイゴシエンジムショ,tsunagu1208@khe.biglobe.ne.jp,080-7616-9757,0957-46-8733,859-3808,東彼杵郡東彼杵町蔵本郷1286番地コーポ藤井A101,,2026-06-09 11:48:02
たかなし相談所,障害者福祉相談支援,タカナシソウダンショ,nashi.soudan@gmail.com,070-1940-5280,--,859-3701,東彼杵郡波佐見町折敷瀬郷1750番地1,,2026-06-04 14:12:23
ハーモニー薬局（有限会社M・Tファーマシー）,調剤薬局,ハーモニーヤッキョク,harmony-kawatana@keh.biglobe.ne.jp,0956-20-6050,0956-20-6052,859-3615,東彼杵郡川棚町下組郷375-3,,2026-06-15 14:57:01
ひまり居宅介護支援事業所,居宅介護支援事業所,ヒマリキョタクカイゴシエンジギョウショ,himari.2024.6.14@gmail.com,070-9211-9752,050-3173-5715,859-3808,東彼杵郡東彼杵町蔵本郷1817-1,,2026-06-04 14:13:19
介護予防運動＆買い物＆居場所（入浴）支援,各町の介護予防事業,カイゴヨボウウンドウカイモノイバショニュウヨクシエン,choujyu@town.kawatana.lg.jp,0956-59-5886,0956-82-3134,859-3692,東彼杵郡川棚町中組郷1518-1,,2025-05-23 14:01:41
介護予防運動＆買い物支援　みんなでいごこーで,各町の介護予防事業,カイゴヨボウウンドウアンドカイモノシエン,choujyu@town.kawatana.lg.jp,0956-59-5886,0956-82-3134,859-3692,東彼杵郡川棚町中組郷1518-1,,2026-07-13 15:00:24
はくあい堂　東そのぎインター薬局,調剤薬局,ハクアイドウヒガシソノギインターヤッキョク,hakuaido.sonogi@gmail.com,0957-46-6224,0957-46-6225,859-3807,東彼杵郡東彼杵町彼杵宿郷420-1,,2026-06-18 14:17:18
訪問看護ステーションリケア,訪問看護ステーション,ホウモンカンゴステーション,refuse-care@outlook.com,0956-37-9927,0956-37-9928,857-1161,佐世保市大塔町723-1シエスタハイツ２０３号,,2026-06-18 14:13:22
イシマルテスト,病院・医院,イシマルテスト,kohei_jinno@ishimaru.ne.jp,080-8594-0137,--,851-0134,長崎市田中町587-1,,2026-06-05 18:18:28
訪問看護リハビリステーション美空,訪問看護ステーション,ホウモンカンゴリハビリステーションミソラ,misoras2hokan@gmail.com,0956-56-7074,0956-56-7074,859-3614,東彼杵郡川棚町中組郷1602-2,,2026-07-31 14:48:20
訪問介護ステーションすまいる,訪問介護,ホウモンカイゴステーションスマイル,sumairu260801@gmail.com,0956-56-6630,095656-56-6690,859-3702,東彼杵郡波佐見町湯無田郷1023-2,,2026-08-07 09:26:04
